year,month,paksha,title,start,end
2032,January,Shukla Paksha,,"2032-01-24 11:07","2032-01-25 13:25"

2032,February,Krishna Paksha,,"2032-02-08 23:07","2032-02-09 19:36"
2032,February,Shukla Paksha,,"2032-02-23 05:57","2032-02-24 08:30"

2032,March,Krishna Paksha,,"2032-03-09 08:20","2032-03-10 04:51"
2032,March,Shukla Paksha,,"2032-03-24 00:54","2032-03-25 03:02"

2032,April,Krishna Paksha,Madhu Krishna Trayodashi,"2032-04-07 16:07","2032-04-08 13:15"
2032,April,Shukla Paksha,,"2032-04-22 18:38","2032-04-23 19:51"

2032,May,Krishna Paksha,,"2032-05-06 23:30","2032-05-07 21:41"
2032,May,Shukla Paksha,,"2032-05-22 10:15","2032-05-23 10:10"

2032,June,Krishna Paksha,,"2032-06-05 07:34","2032-06-06 06:59"
2032,June,Shukla Paksha,,"2032-06-20 23:15","2032-06-21 21:48"

2032,July,Krishna Paksha,,"2032-07-04 17:08","2032-07-05 17:47"
2032,July,Shukla Paksha,,"2032-07-20 09:45","2032-07-21 07:06"

2032,August,Krishna Paksha,,"2032-08-03 04:53","2032-08-04 06:33"
2032,August,Shukla Paksha,,"2032-08-18 18:22","2032-08-19 14:58"

2032,September,Krishna Paksha,,"2032-09-01 19:10","2032-09-02 21:31"
2032,September,Shukla Paksha,,"2032-09-17 02:02","2032-09-17 22:27"

2032,October,Krishna Paksha,,"2032-10-01 12:01","2032-10-02 14:30"
2032,October,Shukla Paksha,,"2032-10-16 09:48","2032-10-17 06:36"
2032,October,Krishna Paksha,Dhanatrayodashi,"2032-10-31 06:45","2032-11-01 08:43"

2032,November,Shukla Paksha,,"2032-11-14 18:33","2032-11-15 16:12"
2032,November,Krishna Paksha,,"2032-11-30 02:01","2032-12-01 02:47"

2032,December,Shukla Paksha,,"2032-12-14 04:53","2032-12-15 03:42"
2032,December,Krishna Paksha,,"2032-12-29 20:03","2032-12-30 19:17"
